City ID,City Name,Cloudiness,Country,Date of Request,Humidity,Latitude,Longitude,Temperature,Wind Speed
0,Kapaa,25,US,1659650282,66,22.0752,-159.319,83.48,5.01
1,Hilo,0,US,1659650061,79,19.7297,-155.09,87.28,8.99
2,Rikitea,97,PF,1659650294,70,-23.1203,-134.9692,70.7,19.44
3,Faanui,42,PF,1659650876,78,-16.4833,-151.75,77.34,25.28
4,Saint-Philippe,33,RE,1659650293,78,-21.3585,55.7679,65.79,11.12
5,Punta Arenas,75,CL,1659650285,87,-53.15,-70.9167,41.11,0.0
6,Mataura,100,NZ,1659650295,86,-46.1927,168.8643,57.47,4.97
7,Vaini,75,TO,1659650318,83,-21.2,-175.2,78.96,10.36
8,Merauke,78,ID,1659650344,87,-8.4667,140.3333,77.54,8.99
9,Margate,100,GB,1659650178,83,51.3813,1.3862,68.31,4.0
10,Los Llanos de Aridane,100,ES,1659650840,90,28.6585,-17.9182,69.55,17.27
12,Leningradskiy,100,RU,1659650404,92,69.3833,178.4167,38.07,8.93
13,Havøysund,72,NO,1659650877,89,70.9963,24.6622,57.43,13.4
14,Ushuaia,75,AR,1659650283,70,-54.8,-68.3,40.66,1.14
16,Ilulissat,100,GL,1659650410,99,69.2167,-51.1,37.83,5.12
17,Tuktoyaktuk,75,CA,1659650308,40,69.4541,-133.0374,68.0,6.91
18,Bogorodskoye,72,RU,1659650878,60,56.55,37.8833,69.17,4.72
19,Naze,99,JP,1659650348,84,28.3667,129.4833,77.92,7.9
21,Arrondissement de Lannion,9,FR,1659650879,74,48.75,-3.4167,60.01,1.01
22,Ndélé,100,CF,1659650775,98,8.4109,20.6473,67.35,1.79
23,Mar del Plata,20,AR,1659650350,81,-38.0023,-57.5575,46.42,4.61
24,Krasnosel'kup,55,RU,1659650879,66,65.7,82.4667,56.37,10.22
25,Luanda,100,AO,1659650666,83,-8.8368,13.2343,68.0,8.05
26,Busselton,100,AU,1659650286,73,-33.65,115.3333,51.62,5.73
27,Constitución,100,CL,1659650312,83,-35.3333,-72.4167,51.84,9.62
28,Saint Anthony,0,US,1659650334,38,45.0205,-93.218,89.29,4.81
29,Sørland,81,NO,1659650398,75,67.667,12.6934,53.46,11.21
30,Sioux Lookout,60,CA,1659650880,36,50.1001,-91.917,75.36,6.33
31,Comodoro Rivadavia,0,AR,1659650726,43,-45.8667,-67.5,48.06,18.41
